lead_time,total_nights,adults,children,babies,adr,room_price_total,booking_changes,days_in_waiting_list,total_of_special_requests,previous_cancellations,previous_bookings_not_canceled,hotel,is_repeated_guest,Cụm,Tên Cụm,Cụm_Chi_Tiết,Tên_Cụm_Chi_Tiết
99,5,2,0.0,0,111.15,389.025,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
49,6,2,0.0,0,134.73,565.866,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
69,6,2,0.0,0,92.45,488.1360000000001,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
63,7,2,0.0,0,117.0,720.7199999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
63,7,2,0.0,0,196.54,963.0459999999998,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
101,7,2,0.0,0,99.3,611.688,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
102,7,2,0.0,0,90.95,560.252,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
92,6,2,0.0,0,96.49,509.46719999999993,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
95,6,2,0.0,0,85.8,453.024,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
102,7,2,0.0,0,96.3,593.208,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
26,7,2,0.0,0,163.0,1004.08,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
73,7,2,0.0,0,172.0,842.8,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
102,7,2,0.0,0,110.7,681.912,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
115,7,2,0.0,0,58.95,363.13200000000006,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
102,7,2,0.0,0,73.8,454.608,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
86,7,2,0.0,0,97.0,597.52,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
78,7,2,0.0,0,139.0,681.1,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
52,7,2,0.0,0,67.24,414.1984,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
29,8,2,0.0,0,116.5,820.16,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
101,8,2,0.0,0,96.3,677.952,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
109,8,2,0.0,0,123.0,865.92,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
92,10,2,0.0,0,71.55,629.64,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
92,10,2,0.0,0,71.55,629.64,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
79,10,2,0.0,0,149.0,1043.0,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
30,5,2,0.0,0,123.0,541.1999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
64,5,2,0.0,0,107.0,470.8,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
39,6,2,0.0,0,163.0,860.64,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
90,6,2,0.0,0,82.0,432.96,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
34,6,2,0.0,0,163.0,860.64,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
93,7,2,0.0,0,105.5,516.9499999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
97,7,2,0.0,0,164.2,804.5799999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
29,7,2,0.0,0,97.29,599.3064,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
101,7,2,0.0,0,114.0,558.6,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
27,7,2,0.0,0,98.4,606.144,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
8,9,2,0.0,0,175.0,1386.0,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
82,10,2,0.0,0,63.6,559.6800000000001,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
94,10,2,0.0,0,124.45,1095.16,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
110,6,2,0.0,0,110.7,584.496,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
96,6,2,0.0,0,74.07,311.09399999999994,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
79,6,2,0.0,0,134.1,563.2199999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
115,5,2,0.0,0,167.0,734.8000000000001,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
94,4,2,0.0,0,171.32,603.0464,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
48,4,2,0.0,0,167.0,467.6,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
28,5,2,0.0,0,123.0,541.1999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
34,5,2,0.0,0,175.0,612.4999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
98,6,2,0.0,0,117.8,494.76,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
104,6,2,0.0,0,117.63,621.0863999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
68,7,2,0.0,0,185.0,906.5,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
86,7,2,0.0,0,71.0,347.9,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
49,7,2,0.0,0,47.25,291.06,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
111,8,2,0.0,0,151.0,845.5999999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
94,5,2,0.0,0,87.3,384.12,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
112,5,2,0.0,0,120.6,530.64,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
100,5,2,0.0,0,63.86,280.98400000000004,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
33,5,2,0.0,0,157.1,549.8499999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
80,5,2,0.0,0,73.0,321.2,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
90,6,2,0.0,0,110.7,584.496,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
111,6,2,0.0,0,93.6,494.208,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
65,7,2,0.0,0,83.5,514.36,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
8,4,2,0.0,0,193.0,679.36,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
88,4,2,0.0,0,150.0,420.0,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
88,7,2,0.0,0,139.0,681.1,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
54,7,2,0.0,0,79.5,489.72,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
49,7,2,0.0,0,47.25,291.06,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
112,6,2,0.0,0,126.65,531.9300000000001,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
113,4,2,0.0,0,123.0,432.96,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
102,5,2,0.0,0,66.42,292.24800000000005,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
113,6,2,0.0,0,77.96,411.6288,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
49,7,2,0.0,0,112.0,548.8,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
96,7,2,0.0,0,107.0,659.12,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
49,7,2,0.0,0,89.68,439.432,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
33,7,2,0.0,0,155.0,759.5,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
82,8,2,0.0,0,112.0,788.48,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
100,4,2,0.0,0,130.1,457.952,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
44,3,2,0.0,0,153.0,403.9200000000001,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
90,7,2,0.0,0,90.95,560.252,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
90,7,2,0.0,0,93.6,576.576,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
90,7,2,0.0,0,119.25,734.5799999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
49,7,2,0.0,0,134.73,660.1769999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
49,7,2,0.0,0,112.0,548.8,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
69,8,2,0.0,0,118.13,661.5279999999999,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
51,5,2,0.0,0,123.0,541.1999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
21,5,2,0.0,0,165.0,577.4999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
35,5,2,0.0,0,149.4,657.36,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
78,7,2,0.0,0,106.84,523.516,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
31,7,2,0.0,0,161.0,788.8999999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
78,7,2,0.0,0,134.43,658.707,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
78,7,2,0.0,0,144.43,707.707,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
44,7,2,0.0,0,152.0,744.8,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
34,7,2,0.0,0,125.54,615.146,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
87,7,2,0.0,0,133.83,515.2455000000001,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
11,8,2,0.0,0,159.75,1124.64,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
86,5,2,0.0,0,112.2,493.68,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
41,6,2,0.0,0,110.6,583.968,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
32,6,2,0.0,0,105.9,559.152,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
34,7,2,0.0,0,95.27,466.823,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
34,7,2,0.0,0,108.83,533.2669999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
100,5,2,0.0,0,153.96,538.86,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
44,5,2,0.0,0,120.6,530.64,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
49,6,2,0.0,0,90.67,478.7376,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
36,6,2,0.0,0,126.67,668.8176,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
117,6,2,0.0,0,144.4,606.48,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
70,6,2,0.0,0,99.5,525.36,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
110,7,2,0.0,0,139.4,858.7040000000001,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
109,7,2,0.0,0,73.8,454.608,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
33,4,2,0.0,0,123.0,432.96,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
33,4,2,0.0,0,123.0,432.96,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
36,7,2,0.0,0,104.68,644.8288,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
40,7,2,0.0,0,166.0,813.3999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
59,8,2,0.0,0,111.25,783.2,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
79,8,2,0.0,0,98.1,549.3599999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
32,10,2,0.0,0,178.0,1246.0,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
110,7,2,0.0,0,113.9,701.624,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
33,7,2,0.0,0,129.29,796.4264,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
8,6,2,0.0,0,169.0,892.3199999999999,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
72,6,2,0.0,0,93.0,491.04,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
12,7,2,0.0,0,132.29,814.9064,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
48,7,2,0.0,0,123.0,757.68,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
90,7,2,0.0,0,117.22,451.297,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
34,7,2,0.0,0,149.0,730.1,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
58,7,2,0.0,0,164.57,1013.7512,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
59,7,2,0.0,0,107.0,659.12,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
90,7,2,0.0,0,117.22,451.297,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
116,7,2,0.0,0,119.25,734.5799999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
31,7,2,0.0,0,123.0,757.68,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
51,7,2,0.0,0,105.71,517.9789999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
48,7,2,0.0,0,123.0,757.68,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
59,7,2,0.0,0,144.43,889.6888000000001,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
97,8,2,0.0,0,126.0,887.04,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
12,9,2,0.0,0,148.3,934.29,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
64,9,2,0.0,0,125.22,991.7424,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
31,6,2,0.0,0,123.0,649.4399999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
59,6,2,0.0,0,130.0,546.0,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
55,6,2,0.0,0,133.16,703.0848,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
81,7,2,0.0,0,78.84,485.6544,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
97,4,2,0.0,0,90.95,320.144,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
100,4,2,0.0,0,130.05,457.77600000000007,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
50,5,2,0.0,0,123.0,541.1999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
47,5,2,0.0,0,103.8,456.72,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
8,5,2,0.0,0,196.0,862.4,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
34,5,2,0.0,0,149.4,522.9,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
47,7,2,0.0,0,175.71,1082.3736,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
115,7,2,0.0,0,119.7,586.53,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
79,7,2,0.0,0,100.86,621.2976,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
91,7,2,0.0,0,100.86,621.2976,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
60,5,2,0.0,0,79.5,349.79999999999995,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
49,5,2,0.0,0,132.8,464.80000000000007,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
51,5,2,0.0,0,79.5,349.79999999999995,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
38,5,2,0.0,0,120.0,528.0,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
75,5,2,0.0,0,144.2,504.69999999999993,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
101,5,2,0.0,0,107.2,471.68,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
42,5,2,0.0,0,120.0,528.0,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
109,5,2,0.0,0,163.8,573.3,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
81,6,2,0.0,0,98.5,520.08,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
